workspace,trial_name,agent_name,model,total_milestones,total_turns,total_cost_usd,total_duration_ms,total_wall_clock_ms,total_tool_calls,total_subagent_calls,unique_session_count,total_input_tokens,total_output_tokens,total_cache_read_tokens,resolved,resolve_rate,failed,error,not_run,tool_read,tool_edit,tool_write,tool_shell,tool_search,tool_plan,tool_subagent,tool_other,mean_score_full,mean_score_reliable,mean_score_precision,mean_score_recall,sum_score_full
dubbo,_claude-code_opus-4.5_run_002,claude-code,claude-opus-4-5-20251101,12,731,54.605366700000005,5348940,5326462,869,111,1,165654,224791,74993980,1,0.08333333333333333,11,0,0,306,152,40,130,182,55,4,0,0.37048076634396554,0.17406351370896092,0.14270327503304633,0.4166666666666667,4.4457691961275865
dubbo,_claude-code_sonnet-4.5_run_002,claude-code,claude-sonnet-4-5-20250929,12,151,5.739335349999999,950568,941556,161,0,1,60724,42214,14005777,1,0.08333333333333333,3,8,0,51,25,7,53,12,13,0,0,0.08333333333333333,0.08333333333333333,0.0834602166133236,0.08333333333333333,1.0
dubbo,_claude-code_sonnet-4.6_run_002,claude-code,claude-sonnet-4-6,12,1175,49.99322025000001,12234000,22503590,1567,527,1,608909,722566,104624758,1,0.08333333333333333,11,0,0,569,170,56,527,141,60,44,0,0.37061264069472816,0.1961224532073791,0.16088762119749198,0.4166666666666667,4.447351688336738
dubbo,_claude-code_opus-4.6_run_002,claude-code,claude-opus-4-6,12,1073,61.6690073,10440346,10408523,1629,835,1,622371,432107,84664658,3,0.25,9,0,0,548,190,50,490,229,70,32,20,0.45400636725756965,0.3121557071080597,0.3747352945009706,0.5,5.448076407090836
dubbo,_codex_gpt-5.2-codex_run_002,codex,gpt-5.2-codex,12,748,25.094712299999998,8211735,8201129,747,0,1,88566506,400959,0,0,0.0,10,2,0,0,0,0,555,0,36,0,156,0.2614998382284726,0.08201462574400657,0.06635257992023931,0.3333333333333333,3.137998058741671
dubbo,_codex_gpt-5.2_run_002,codex,gpt-5.2,12,1237,47.073310199999995,12199000,12104218,1307,0,1,157125876,519689,0,1,0.08333333333333333,11,0,0,0,0,0,0,0,76,0,1231,0.6618658246310476,0.20855386486578434,0.16263305749760068,0.6666666666666666,7.942389895572571
dubbo,_codex_gpt-5.3-codex_run_002,codex,gpt-5.3-codex,12,1130,11.45791745,39705000,50470642,1602,0,1,42791524,161937,0,2,0.16666666666666666,10,0,0,0,0,0,0,0,0,0,1602,0.6619364698417203,0.2863058930691781,0.25431745868326905,0.6666666666666666,7.943237638100643
dubbo,_gemini-cli_gemini-3-pro_run_002,gemini-cli,gemini-3-pro-preview,12,546,99.2135076999999,16638037,16504100,490,0,1,10719288,269189,0,1,0.08333333333333333,11,0,0,126,114,36,212,2,0,0,0,0.36603408060586307,0.10162791425101324,0.09874870958562543,0.4166666666666667,4.392408967270357
dubbo,_gemini-cli_gemini-3.1-pro_run_002,gemini-cli,gemini-3.1-pro,12,207,6.3037222,17330000,19877232,701,0,2,1213332,58767,0,2,0.16666666666666666,10,0,0,0,115,53,533,0,0,0,0,0.4317145868192989,0.2307258202246469,0.2228680104721785,0.4583333333333333,5.180575041831587
dubbo,_gemini-cli_gemini-3-flash_run_002,gemini-cli,gemini-3-flash-preview,12,206,3.1306937,9315000,40978080,957,0,2,2752453,98474,0,1,0.08333333333333333,11,0,0,333,173,59,343,49,0,0,0,0.36899720724473095,0.1300005015253523,0.11821366829781242,0.4166666666666667,4.427966486936771
